Designator;Mid X;Mid Y;Rotation;Layer
C23;19.050000;44.740000;180.000000;Bottom
FID1;1.740000;61.320000;180.000000;Bottom
FID2;34.010000;7.120000;180.000000;Bottom
R16;14.950000;8.850000;90.000000;Bottom
R17;11.940000;8.840000;90.000000;Bottom
ST1;25.420000;2.380000;180.000000;Bottom
ST2;13.680000;1.400000;180.000000;Bottom
ST3;18.000000;28.300000;180.000000;Bottom
SW2;32.000000;2.200000;180.000000;Bottom
SW3;4.000000;2.200000;0.000000;Bottom
C1;5.700000;9.000000;180.000000;Top
C2;6.250000;12.000000;180.000000;Top
C3;12.600000;20.790000;0.000000;Top
C4;7.390000;20.810000;180.000000;Top
C5;10.440000;12.640000;0.000000;Top
C6;7.600000;18.600000;180.000000;Top
C7;21.100000;16.600000;-90.000000;Top
C8;25.800000;19.910000;0.000000;Top
C9;20.690000;19.920000;180.000000;Top
C10;28.200000;9.300000;0.000000;Top
C11;28.200000;11.600000;0.000000;Top
C12;24.900000;13.700000;90.000000;Top
C13;19.000000;12.500000;-90.000000;Top
C14;18.240000;56.500000;180.000000;Top
C15;22.500000;56.500000;0.000000;Top
C16;18.870000;52.710000;180.000000;Top
C17;22.310000;54.480000;0.000000;Top
C18;18.620000;54.460000;180.000000;Top
C19;24.100000;51.790000;90.000000;Top
C20;22.410000;52.060000;90.000000;Top
C21;14.470000;41.610000;180.000000;Top
C22;11.960000;46.480000;180.000000;Top
C24;11.720000;33.850000;180.000000;Top
C25;26.870000;50.735000;0.000000;Top
C26;27.300000;45.285000;180.000000;Top
C27;2.450000;5.060000;0.000000;Top
C28;31.580000;15.170000;-90.000000;Top
C29;22.500000;23.020000;0.000000;Top
C30;11.720000;28.670000;0.000000;Top
C31;20.690000;31.420000;0.000000;Top
C32;11.785000;27.040000;0.000000;Top
D1;16.537500;21.590000;180.000000;Top
IC1;10.710000;15.462500;90.000000;Top
IC2;22.000000;13.400000;180.000000;Top
IC3;17.810000;35.760000;180.000000;Top
IC4;17.950000;46.265000;-90.000000;Top
IC5;21.500000;25.550000;90.000000;Top
L1;23.300000;17.000000;90.000000;Top
L2;24.030000;49.225000;-135.000000;Top
Q1;27.290000;48.005000;90.000000;Top
R1;8.000000;14.750000;90.000000;Top
R2;19.800000;16.700000;90.000000;Top
R3;18.600000;14.000000;90.000000;Top
R4;22.900000;10.900000;180.000000;Top
R5;20.200000;10.900000;180.000000;Top
R6;19.325000;9.740000;180.000000;Top
R7;17.832000;10.900000;180.000000;Top
R8;21.300000;9.740000;0.000000;Top
R9;2.360000;16.920000;0.000000;Top
R10;29.465000;15.000000;-90.000000;Top
R11;4.330000;27.770000;90.000000;Top
R12;3.443000;28.820000;180.000000;Top
R13;6.390000;25.200000;0.000000;Top
R14;31.130000;16.850000;-90.000000;Top
R15;16.520000;20.200000;180.000000;Top
ST4;5.319900;31.590000;-90.000000;Top
ST5;30.719900;31.590000;-90.000000;Top
SW1;33.370717;15.595429;-90.000000;Top
